id,customer_id,installment_name,amount,due_date,status
PAY-0001,Z0064-Z-Lukgaw,ชำระเต็มจำนวน 100%,130000,2026-05-05,paid
PAY-0002,Z0064-Z-Pattaya,ชำระเต็มจำนวน 100%,410000,2026-05-18,paid
PAY-0003,Z0076-Z-Z-478,ชำระเต็มจำนวน 100%,165400,2026-02-26,paid
PAY-0004,BGV01-Z-98/33,ชำระเต็มจำนวน 100%,230000,2026-06-11,paid
PAY-0005,Z0083-Z-Design,ชำระเต็มจำนวน 100%,130525,2026-05-21,paid
PAY-0006,ORP01-Z-227,ชำระเต็มจำนวน 100%,2000,2026-05-27,paid
PAY-0007,ORP01-Z-812,ชำระเต็มจำนวน 100%,2000,2026-04-06,paid
PAY-0008,Z0078-Z-MUR,ชำระเต็มจำนวน 100%,373832,2025-09-29,paid
PAY-0009,Z0074-Z-Built,ชำระเต็มจำนวน 100%,400000,2025-12-09,paid
PAY-0010,Z0074-Z-WPP,ชำระเต็มจำนวน 100%,38000,2025-09-26,paid
PAY-0011,Z0085-Z-989/391,ชำระ 50% แรก เริ่มงาน,5000,,paid
PAY-0012,Z0085-Z-XXX,มัดจำจองสิทธิ์,5000,,paid
PAY-0013,BTN35-Z-222/41,ชำระเต็มจำนวน 100%,66980,2026-06-30,paid
PAY-0014,KNB14-Z-2405,รับ PO / อนุมัติงาน,0,,paid
PAY-0015,KNB11-B-2001,ชำระเต็มจำนวน 100%,100000,,paid
PAY-0016,KNB06-Z-3124,ชำระเต็มจำนวน 100%,256400,2026-04-28,paid
PAY-0017,KNB12-Z-2009,รับ PO / อนุมัติงาน,0,,paid
PAY-0018,KNB16-Z-1401,ชำระเต็มจำนวน 100%,151990,2026-03-27,paid
PAY-0019,KNB16-Z-1501,รับ PO / อนุมัติงาน,0,,paid
PAY-0020,KNB16-Z-1632,รับ PO / อนุมัติงาน,0,,paid
PAY-0021,KNB16-Z-1802,มัดจำจองสิทธิ์,2000,,paid
PAY-0022,KNB16-Z-1804,รับ PO / อนุมัติงาน,0,,paid
PAY-0023,KNB16-Z-1807,รับ PO / อนุมัติงาน,0,,paid
PAY-0024,KNB16-Z-1809,มัดจำจองสิทธิ์,2000,,paid
PAY-0025,KNB16-Z-1811,ชำระเต็มจำนวน 100%,107200,2026-02-26,paid
PAY-0026,KNB16-Z-1904,ชำระเต็มจำนวน 100%,86900,2026-02-26,paid
PAY-0027,KNB16-Z-1908,ชำระเต็มจำนวน 100%,372400,2026-01-28,paid
PAY-0028,KNB16-Z-2505,รับ PO / อนุมัติงาน,0,,paid
PAY-0029,KNB16-Z-2517,รับ PO / อนุมัติงาน,0,,paid
PAY-0030,KNB16-Z-2608,รับ PO / อนุมัติงาน,0,,paid
PAY-0031,KNB16-Z-2617,รับ PO / อนุมัติงาน,0,,paid
PAY-0032,KNB16-Z-1914,ชำระเต็มจำนวน 100%,96200,2026-03-27,paid
PAY-0033,KNB16-Z-2008,ชำระ 50% แรก เริ่มงาน,87950,,paid
