id,customer_id,project_id,room,handover_date,warranty_start,warranty_end,warranty_months,status,notes
WAR-001,Z0064-Z-Lukgaw,Z0064,Z-Lukgaw,2026-05-05,2026-05-05,2026-11-01,6,active,บริการของ wyde
WAR-002,Z0064-Z-Pattaya,Z0064,Z-Pattaya,2026-05-18,2026-05-18,2026-11-14,6,active,บริการของ wyde
WAR-003,Z0076-Z-Z-478,Z0076,Z-Z-478,2026-02-26,2026-02-26,2026-08-25,6,active,บริการของ wyde
WAR-004,BGV01-Z-98/33,BGV01,Z-98/33,2026-06-11,2026-06-11,2026-12-08,6,active,บริการของ wyde
WAR-005,Z0083-Z-Design,Z0083,Z-Design,2026-05-21,2026-05-21,2026-11-17,6,active,บริการของ wyde
WAR-006,ORP01-Z-227,ORP01,Z-227,2026-05-27,2026-05-27,2026-11-23,6,active,บริการของ wyde
WAR-007,ORP01-Z-812,ORP01,Z-812,2026-04-06,2026-04-06,2026-10-03,6,active,บริการของ wyde
WAR-008,Z0078-Z-MUR,Z0078,Z-MUR,2025-09-29,2025-09-29,2026-03-28,6,active,บริการของ wyde
WAR-009,Z0074-Z-Built,Z0074,Z-Built,2025-12-09,2025-12-09,2026-06-07,6,active,บริการของ wyde
WAR-010,Z0074-Z-WPP,Z0074,Z-WPP,2025-09-26,2025-09-26,2026-03-25,6,active,บริการของ wyde
WAR-011,BTN35-Z-222/41,BTN35,Z-222/41,2026-06-30,2026-06-30,2026-12-27,6,active,บริการของ wyde
WAR-012,KNB06-Z-3124,KNB06,Z-3124,2026-04-28,2026-04-28,2026-10-25,6,active,บริการของ wyde
WAR-013,KNB16-Z-1401,KNB16,Z-1401,2026-03-27,2026-03-27,2026-09-23,6,active,บริการของ wyde
WAR-014,KNB16-Z-1811,KNB16,Z-1811,2026-02-26,2026-02-26,2026-08-25,6,active,บริการของ wyde
WAR-015,KNB16-Z-1904,KNB16,Z-1904,2026-02-26,2026-02-26,2026-08-25,6,active,บริการของ wyde
WAR-016,KNB16-Z-1908,KNB16,Z-1908,2026-01-28,2026-01-28,2026-07-27,6,active,บริการของ wyde
WAR-017,KNB16-Z-1914,KNB16,Z-1914,2026-03-27,2026-03-27,2026-09-23,6,active,บริการของ wyde
WAR-018,KNB16-Z-2008,KNB16,Z-2008,2026-06-22,2026-06-22,2026-12-19,6,active,บริการของ wyde
WAR-019,KNB16-Z-2016,KNB16,Z-2016,2026-01-28,2026-01-28,2026-07-27,6,active,บริการของ wyde
WAR-020,KNB16-Z-2106,KNB16,Z-2106,2026-05-20,2026-05-20,2026-11-16,6,active,บริการของ wyde
WAR-021,KNB16-Z-2612,KNB16,Z-2612,2026-02-26,2026-02-26,2026-08-25,6,active,บริการของ wyde
WAR-022,KNB16-Z-2612,KNB16,Z-2612,2026-02-26,2026-02-26,2026-08-25,6,active,บริการของ wyde
WAR-023,KNB16-Z-2613,KNB16,Z-2613,2026-03-27,2026-03-27,2026-09-23,6,active,บริการของ wyde
WAR-024,KNB16-Z-2615,KNB16,Z-2615,2026-02-26,2026-02-26,2026-08-25,6,active,บริการของ wyde
WAR-025,KNB16-Z-2616,KNB16,Z-2616,2026-03-27,2026-03-27,2026-09-23,6,active,บริการของ wyde
WAR-026,KNB16-Z-2703,KNB16,Z-2703,2026-01-28,2026-01-28,2026-07-27,6,active,บริการของ wyde
WAR-027,KNB16-Z-2714,KNB16,Z-2714,2026-03-27,2026-03-27,2026-09-23,6,active,บริการของ wyde
WAR-028,KNB16-Z-2718,KNB16,Z-2718,2026-01-28,2026-01-28,2026-07-27,6,active,บริการของ wyde
WAR-029,KNB16-Z-3201,KNB16,Z-3201,2026-03-27,2026-03-27,2026-09-23,6,active,บริการของ wyde
WAR-030,KNB16-Z-3202,KNB16,Z-3202,2026-03-27,2026-03-27,2026-09-23,6,active,บริการของ wyde
WAR-031,Z0073-Z-1BM,Z0073,Z-1BM,2025-09-25,2025-09-25,2026-03-24,6,active,บริการของ wyde
WAR-032,Z0073-Z-1BM,Z0073,Z-1BM,2025-09-25,2025-09-25,2026-03-24,6,active,บริการของ wyde
WAR-033,Z0073-Z-1PB,Z0073,Z-1PB,2025-09-25,2025-09-25,2026-03-24,6,active,บริการของ wyde
WAR-034,Z0073-Z-MUR,Z0073,Z-MUR,2026-09-25,2026-09-25,2027-03-24,6,active,บริการของ wyde
WAR-035,Z0073-Z-Prop,Z0073,Z-Prop,2026-06-05,2026-06-05,2026-12-02,6,active,บริการของ wyde
WAR-036,Z0073-Z-S1,Z0073,Z-S1,2025-09-25,2025-09-25,2026-03-24,6,active,บริการของ wyde
WAR-037,Z0070-Z-AC,Z0070,Z-AC,2026-02-05,2026-02-05,2026-08-04,6,active,บริการของ wyde
WAR-038,Z0070-Z-Door,Z0070,Z-Door,2026-05-25,2026-05-25,2026-11-21,6,active,บริการของ wyde
WAR-039,Z0070-Z-Int,Z0070,Z-Int,2026-02-05,2026-02-05,2026-08-04,6,active,บริการของ wyde
WAR-040,Z0070-Z-LF,Z0070,Z-LF,2026-02-05,2026-02-05,2026-08-04,6,active,บริการของ wyde
WAR-041,Z0070-Z-Studio,Z0070,Z-Studio,2026-02-05,2026-02-05,2026-08-04,6,active,บริการของ wyde
WAR-042,OPL01-Z-1138,OPL01,Z-1138,2026-03-27,2026-03-27,2026-09-23,6,active,บริการของ wyde
WAR-043,OPL01-Z-1204,OPL01,Z-1204,2026-04-07,2026-04-07,2026-10-04,6,active,บริการของ wyde
